source,target,weight
OE.INSTALL,T.ADMIN_ERROR,2
OE.HOST,T.MAN_TOE,4
OE.HOST,T.ADMIN_ERROR,4
OE.HOST,T.MAN_DBMS,4
OE.VENDOR,T.MAN_TOE,3
OE.VENDOR,T.ADMIN_ERROR,2
OE.CEN_STORAGE,T.INCORRECT_LOAD,1
OE.CEN_STORAGE,T.CONFIG_INTEGRITY,2
OE.CEN_STORAGE,T.CONFIG_CHANGE,3
OE.MGMT,T.TSF_COMPROMISE,2
OE.DEV_TOKEN,T.TSF_COMPROMISE,4
OE.LAPTOP,T.TSF_COMPROMISE,2
OE.VPNBOX,T.TSF_COMPROMISE,2
OE.VPNBOX,A.VPNBOX,1
O.AUDIT,OSP.AUDIT,2
O.AUTH,T.MAN_TOE,3
O.AUTH,T.ADMIN_ERROR,4
O.LABEL,OSP.LABEL,2
O.ENC,T.LEAST_PRIVILAGE,2
O.ENC,T.UNAUTH_ACCESS,1
O.MGMT,T.UNAUTH_ACCESS,2
O.RBAC,T.LEAST_PRIVILAGE,3
O.RBAC,T.UNAUTH_ACCESS,4
O.RBAC,T.TSF_COMPROMISE,2
O.I&A,T.MAN_ACCOUNT,4
O.I&A,T.CONFIG_CHANGE,2
O.I&A,T.LEAST_PRIVILAGE,4
O.I&A,T.UNAUTH_ACCESS,2
O.I&A,T.TSF_COMPROMISE,4
O.NTK,T.LEAST_PRIVILAGE,2